TH1205|1|14.0798602595|100.2994537493
|||
|||
TH1205|1|14.0798602595|100.2994537493
TH1205|1|14.0798602595|100.2994537493
TH1205|1|14.0494434453|100.3086090088
TH1205|1|14.0760861183|100.3003692627
TH1205|3|13.9387322148|100.3099822998
TH1205|2|14.0140261006|100.3003692627
TH1205|0|13.9860436387|100.3113635379
TH1205|ไทรน้อย|0|14.0080301457|100.2990039188
TH1205|ไทรน้อย|0|14.0093625936|100.3017505008
TH1205|ไทรน้อย|2|14.1044152220|100.3015136649
TH1205|ไทรน้อย|3|14.0593484620|100.2887471567
TH1205|ไทรน้อย|1|13.9803801070|100.3123895326
TH1205|ไทรน้อย|0|13.9433724430|100.3008858027
TH1205|ไทรน้อย|0|13.9302906554|100.3026326490
TH1205|ไทรน้อย|1|13.9321789216|100.3031794215
TH1205|ไทรน้อย|0|13.9387322148|100.3051837283
TH1205|ไทรน้อย|0|13.9487283951|100.3072436649
TH1205|ไทรน้อย|0|13.9480619965|100.3120501834
TH1205|ไทรน้อย|1|13.9347336215|100.3010638553
TH1205|ไทรน้อย|1|13.9347336215|100.3010638553
TH1205|ไทรน้อย|0|13.8940773287|100.3051837283
TH1205|ไทรน้อย|0|13.9294020560|100.2907641727
TH1205|ไทรน้อย|3|13.9234038977|100.2990039188
TH1205|ไทรน้อย|0|13.9793806458|100.2990039188
TH1205|ไทรน้อย|2|14.0380083537|100.2914508182
TH1205|ไทรน้อย|1|14.1199287591|100.3017505008
TH1205|ไทรน้อย|1|14.1199287591|100.3017505008
TH2006|พนัสนิคม|0|13.4751943233|101.1933922302
TH2011|เกาะจันทร์|0|13.4147833101|101.3740433659
TH2010|บ่อทอง|0|13.2610293317|101.5106942668
TH2003|หนองใหญ่|0|13.1331460274|101.3433028199
TH2002|บ้านบึง|0|13.2449887343|101.1659982218
TH2001|เมืองชลบุรี|0|13.3469930153|100.9848699253
TH2007|ศรีราชา|0|13.1406991376|101.0259225382
TH2004|บางละมุง|0|12.9346641701|100.9737374797
TH2009|สัตหีบ|0|12.7216514170|100.9241424291
TH2008|เกาะสีชัง|0|13.1673937184|100.7980846195
TH2010|บ่อทอง|1|13.3195416718|101.4458533516
TH2010|บ่อทอง|2|13.2252154984|101.4436782897
TH2010|บ่อทอง|3|13.1780729317|101.4444137178
TH2008|เกาะสีชัง|1|13.1329322878|100.7064676937
TH2008|เกาะสีชัง|2|13.0866125989|100.7078075409
TH2008|เกาะสีชัง|3|13.0385703705|100.7034465834
TH2009|สัตหีบ|1|12.6845170738|100.8844385063
TH2009|สัตหีบ|2|12.6379217200|100.8832453424
TH2009|สัตหีบ|3|12.5900085234|100.8808011794
TH2004|บางละมุง|1|12.8983090040|100.9420153080
TH2004|บางละมุง|2|12.8511568938|100.9406165779
TH2004|บางละมุง|2|12.8051580319|100.9741064301
TH2004|บางละมุง|2|12.8510210760|100.9420304373
TH2004|บางละมุง|3|12.8041486100|100.9683077037
TH2005|พานทอง|0|13.4832037400|101.0504938988
TH1205|ไทรน้อย|0|14.0033665169|100.3168487549
TH6207|ลานกระบือ|0|16.6105319125|99.8265838623
TH6202|ไทรงาม|0|16.4294991995|99.7888183594
TH6207|ลานกระบือ|1|16.5901330833|99.7956848145
TH6207|ลานกระบือ|1|16.6809241171|99.8204040527
TH6205|คลองขลุง|0|16.2291793639|99.6006774902
TH6205|คลองขลุง|2|16.2845513962|99.6940612793
TH6205|คลองขลุง|3|16.2476384415|99.7050476074
